商品名称,价格,商品链接
克利夫兰骑士队 (LeBron James) Icon Edition Swingman JerseyNike NBA Connected Jersey 男子球衣,￥599,https://store.nike.com/cn/zh_cn/pd/%E5%85%8B%E5%88%A9%E5%A4%AB%E5%85%B0%E9%AA%91%E5%A3%AB%E9%98%9F-icon-edition-swingman-jersey-nba-connected-jersey-%E7%94%B7%E5%AD%90%E7%90%83%E8%A1%A3/pid-11813749/pgid-11988508
金州勇士队 (Kevin Durant) City Edition Authentic JerseyNike NBA Connected Jersey 男子球衣,"￥1,299",https://store.nike.com/cn/zh_cn/pd/%E9%87%91%E5%B7%9E%E5%8B%87%E5%A3%AB%E9%98%9F-city-edition-authentic-jersey-nba-connected-jersey-%E7%94%B7%E5%AD%90%E7%90%83%E8%A1%A3/pid-11954832/pgid-12407587
Jordan Fly Unlimited男子篮球鞋,￥799,https://store.nike.com/cn/zh_cn/pd/jordan-fly-unlimited-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-DqG3kv/pid-12022029/pgid-12415545
Nike Mamba Rage PRM EP男子篮球鞋,￥699,https://store.nike.com/cn/zh_cn/pd/mamba-rage-prm-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-hTQTfd/pid-12133096/pgid-12415676
Jordan Fly Unlimited PFX男子篮球鞋,￥799,https://store.nike.com/cn/zh_cn/pd/jordan-fly-unlimited-pfx-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-yATY0kYn/pid-11998011/pgid-12014952
Jordan Wings CNY男子全长拉链开襟连帽衫,￥699,https://store.nike.com/cn/zh_cn/pd/jordan-wings-cny-%E7%94%B7%E5%AD%90%E5%85%A8%E9%95%BF%E6%8B%89%E9%93%BE%E5%BC%80%E8%A5%9F%E8%BF%9E%E5%B8%BD%E8%A1%AB-bRjbnm/pid-12115290/pgid-12186073
Air Jordan First Class男子运动鞋,￥899,https://store.nike.com/cn/zh_cn/pd/air-jordan-first-class-%E7%94%B7%E5%AD%90%E8%BF%90%E5%8A%A8%E9%9E%8B-Q1mGpw/pid-12136680/pgid-12186149
Air Jordan First Class男子运动鞋,￥899,https://store.nike.com/cn/zh_cn/pd/air-jordan-first-class-%E7%94%B7%E5%AD%90%E8%BF%90%E5%8A%A8%E9%9E%8B-VhnRBD/pid-12136650/pgid-12415860
金州勇士队 (Stephen Curry) Icon Edition Swingman JerseyNike NBA Connected Jersey 男子球衣,￥599,https://store.nike.com/cn/zh_cn/pd/%E9%87%91%E5%B7%9E%E5%8B%87%E5%A3%AB%E9%98%9F-icon-edition-swingman-jersey-nba-connected-jersey-%E7%94%B7%E5%AD%90%E7%90%83%E8%A1%A3/pid-11616633/pgid-12407586
Nike Zoom Evidence II EP男子篮球鞋,￥599,https://store.nike.com/cn/zh_cn/pd/zoom-evidence-2-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-wmXXQg/pid-11978401/pgid-12415259
克利夫兰骑士队 (LeBron James) City Edition Authentic JerseyNike NBA Connected Jersey 男子球衣,"￥1,299",https://store.nike.com/cn/zh_cn/pd/%E5%85%8B%E5%88%A9%E5%A4%AB%E5%85%B0%E9%AA%91%E5%A3%AB%E9%98%9F-city-edition-authentic-jersey-nba-connected-jersey-%E7%94%B7%E5%AD%90%E7%90%83%E8%A1%A3/pid-11954812/pgid-12407552
Nike Mamba Rage PRM EP男子篮球鞋,￥699,https://store.nike.com/cn/zh_cn/pd/mamba-rage-prm-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-89Tqg7wW/pid-12133098/pgid-12186040
Nike Zoom KD10 (GS)大童篮球童鞋,￥999,https://store.nike.com/cn/zh_cn/pd/zoom-kd10-%E5%A4%A7%E7%AB%A5%E7%AF%AE%E7%90%83%E7%AB%A5%E9%9E%8B-gXTOgby0/pid-12172322/pgid-11865844
Nike Kyrie男子篮球夹克,￥999,https://store.nike.com/cn/zh_cn/pd/kyrie-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E5%A4%B9%E5%85%8B-1qTbMGVM/pid-11918856/pgid-12166538
Nike Hoops Elite Max Air Team 2.0篮球双肩包,￥499,https://store.nike.com/cn/zh_cn/pd/hoops-elite-max-air-team-2-%E7%AF%AE%E7%90%83%E5%8F%8C%E8%82%A9%E5%8C%85-1MWXPM/pid-11078245/pgid-12413236
Nike Kyrie Shield男子篮球夹克,￥899,https://store.nike.com/cn/zh_cn/pd/kyrie-shield-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E5%A4%B9%E5%85%8B-3zTb1z3j/pid-12059659/pgid-12185740
