问题发生时间,平台名称,所在地区,上线时间,出问题原因,url,注册资本,法人,风险暴露时间,注册人数,筹集资金,待收金额,现状
2017/2/13,海新金服,北京市东城区,2016/6/17,提现困难,https://www.p2peye.com/thread-934195-1-1.html,1000万元 人民币,张琛,2017年2月10日,19789人,4092.9 万,不详,限制提现
2017/2/9,中星财行,浙江省宁波市,2016/7/19,平台失联,https://www.p2peye.com/thread-932900-1-1.html,10000万元 人民币,沈周晓,"2017年01月25日
",不详,不详,不详,限额提现
2017/2/13,钱罐儿理财,北京市东城区,2016/7/1,提现困难,https://www.p2peye.com/thread-934193-1-1.html,1000万元 人民币,金雪峰,2017年2月10日,不详,不详,不详,限制提现
2017/3/29,钱小二,四川省成都市,--,平台失联,https://www.p2peye.com/thread-969546-1-1.html,66.667万元人民币,董平,2017年3月28日,不详,不详,不详,网站无法访问，页面显示域名出售中
2017/4/10,唯信贷,安徽省合肥市,2014/12/13,平台失联,https://www.p2peye.com/thread-974378-1-1.html,1000万元人民币,刘亮,不详,不详,不详,不详,网站无法访问，页面展示为空白页
2017/2/22,润合金融,广东省深圳市,2015/9/1,平台失联,https://www.p2peye.com/thread-952224-1-1.html,5000万元人民币,张鹰,2016年11月24日,288627 个,9244.22万 元,不详,连续多日联系不上，客服电话无法接通
2017/3/7,顶峰卓越投资,北京市朝阳区,--,平台失联,https://www.p2peye.com/thread-958203-1-1.html,"10000万元人民币
",何昕,2017年3月7日,不详,不详,不详,网站无法访问
2017/2/22,银鑫源,广东省深圳市,2015/4/18,平台失联,https://www.p2peye.com/thread-952236-1-1.html,"3000万元人民币 
",孙大三,不详,不详,不详,不详,网站无法访问，除首页外，其他页面均显示为404
2017/4/9,金钱客栈,山东省潍坊市,2016/5/20,平台失联,https://www.p2peye.com/thread-973640-1-1.html,5000万元人民币,陈春茂,不详,不详,不详,不详,网站无法访问
2017/3/22,乐百贷,北京市东城区,2015/4/20,,https://www.p2peye.com/thread-966104-1-1.html,10000万元人民币,王文杰,不详,不详,不详,不详,限制提现，连续多日联系不上
2017/2/22,全资本,北京市东城区,2014/7/16,暂停发标,https://www.p2peye.com/thread-952223-1-1.html,11380万元人民币,聂建军,2016年11月24日,不详,不详,不详,发布暂停发标公告
2017/2/22,北城贷,山东省济宁市,2014/1/15,平台失联,https://www.p2peye.com/thread-952233-1-1.html,"10000万元人民币
1000万元人民币","孙延丽
周传辉",不详,不详,1855757433.64元,不详,连续多日联系不上，客服电话欠费停机
2017/2/22,旺利网,江苏省无锡市,2014/11/18,平台失联,https://www.p2peye.com/thread-952243-1-1.html,"1000万元人民币 
",董夫暖,不详,不详,不详,不详,网站无法访问
2017/3/22,惠民金融,重庆市万州区,2014/4/30,终止运营,https://www.p2peye.com/thread-966102-1-1.html,4500万元人民币,冉皓,不详,不详,"1,496,864,000.00",0元,发布停运清盘公告
2017/3/9,伍兆金服,广东省广州市,--,平台失联,https://www.p2peye.com/thread-959511-1-1.html,9000万元人民币,叶剑灵,2017年3月3日,不详,不详,不详,网站无法访问
2017/2/14,程诺金服,上海市黄浦区,--,平台失联,https://www.p2peye.com/thread-948489-1-1.html,5000万元人民币,钟传金,不详,不详,不详,不详,网站无法访问
2017/2/21,金岩财富,浙江省宁波市,--,警方介入,https://www.p2peye.com/thread-951582-1-1.html,20000万元人民币,闫岩,不详,"72,176 位",1539956187.84 元,不详,经侦立案
2017/2/16,力霸国际金融,山东省青岛市,--,平台失联,https://www.p2peye.com/thread-949417-1-1.html,20000万元人民币,王趁然,不详,不详,不详,不详,网站无法访问
2017/2/21,小熊贷,山东省滨州市,2016/4/14,平台失联,https://www.p2peye.com/thread-951580-1-1.html,1000万元人民币,岳云广,不详,不详,不详,不详,网站无法访问
2017/2/21,恒贷网,北京市朝阳区,2016/11/11,警方介入,https://www.p2peye.com/thread-951569-1-1.html,5000万元人民币,李保国,2017年2月21日,"
","
",不详,警方立案侦查
2017/2/13,乐行理财,北京市东城区,2016/3/8,提现困难,https://www.p2peye.com/thread-934194-1-1.html,1000万元 人民币,吕伟栋,2017年2月10日,不详,不详,不详,限制提现
2017/3/29,苏信财富,江苏省苏州市,2015/6/6,平台失联,https://www.p2peye.com/thread-969555-1-1.html,1500万元人民币,朱三元,2015年7月1日,不详,不详,不详,网站无法访问，页面显示为空白内容
2017/3/14,三板贷,广东省深圳市,--,提现困难,https://www.p2peye.com/thread-961804-1-1.html,5000万元人民币,李飞,2017年1月4日,"89,294人","125,924,418 元",不详,限制提现
2017/2/14,云贷网,北京市东城区,2014/1/8,平台失联,https://www.p2peye.com/thread-948457-1-1.html,1000万元人民币,刘振武,不详,不详,不详,不详, 连续多日联系不上，客服电话无法接通
2017/2/16,企之家财富,黑龙江省大兴安岭地区,--,平台失联,https://www.p2peye.com/thread-949396-1-1.html,1000万元人民币,刘力,不详,不详,不详,不详,网站无法访问
2017/3/14,融交所,北京市东城区,2014/11/18,,https://www.p2peye.com/thread-961803-1-1.html,10000万元人民币,梁云龙,2016年12月3日,不详,"73,661,411元",不详,发布停业整顿公告
2017/3/14,富德利,广东省深圳市,--,平台失联,https://www.p2peye.com/thread-961807-1-1.html,8000万元人民币,刁丽婷,2017年3月9日,不详,不详,不详,网站无法访问
2017/2/16,火融网,上海市奉贤区,--,平台失联,https://www.p2peye.com/thread-949370-1-1.html,50万元人民币,杨成,不详,不详,不详,不详,连续多日联系不上，大量到期标的显示还款中
2017/3/9,苏银财富,江苏省南京市,2015/5/6,,https://www.p2peye.com/thread-959509-1-1.html,10000万元人民币,张建荣,2017年3月9日,不详,不详,不详,网站无法访问
2017/2/13,火牛财富,北京市东城区,2015/7/7,平台失联,https://www.p2peye.com/thread-934192-1-1.html,10000万元 人民币,魏生,2016年3月2日,不详,不详,不详,网站无法访问
2017/2/12,天脉投资,广东省湛江市,--,平台失联,https://www.p2peye.com/thread-933614-1-1.html,100万元 人民币,白云,不详,不详,不详,不详,连续多日联系不上，网站长期显示为系统维护，网站清算中
2017/3/9,渝意顺,广东省深圳市,--,提现困难,https://www.p2peye.com/thread-959515-1-1.html,20000万元人民币,万红梅,2017年2月3日,不详,不详,不详,网站发布合并公告，但合并方对应网站无法访问
2017/2/10,交投金服,浙江省绍兴市,2017/1/5,平台失联,https://www.p2peye.com/thread-933461-1-1.html,500万元 人民币（被假冒）,缪国芳（被假冒）,不详,不详,不详,不详,网站无法访问
2017/3/7,诚康金融网,江苏省苏州市,--,平台失联,https://www.p2peye.com/thread-958204-1-1.html,"5000万元人民币
",赖小友,2017年3月7日,不详,不详,不详,网站无法访问
2017/3/7,海洋亿通,北京市朝阳区,--,平台失联,https://www.p2peye.com/thread-958205-1-1.html,"1000万元人民币
",张文雨,2017年3月7日,不详,不详,不详,网站无法访问
2017/3/29,文玥贷,安徽省合肥市,--,平台失联,https://www.p2peye.com/thread-969548-1-1.html,1200万元人民币,江建华,不详,不详,不详,不详,网站无法访问
2017/3/9,诺米宝,北京市东城区,2015/10/26,,https://www.p2peye.com/thread-959508-1-1.html,10000万元人民币,文经纬,2017年3月9日,不详,不详,不详,网站无法访问
2017/3/14,钱的N次方,北京市东城区,2014/11/8,,https://www.p2peye.com/thread-961813-1-1.html,5000万元人民币,张金鹏,不详,不详,不详,不详,网站无法访问
2017/3/8,钱程在线,广东省深圳市,2014/8/18,,https://www.p2peye.com/thread-958867-1-1.html,3000万元人民币,周广磊,2017年3月8日,不详,不详,不详,网站无法访问
2017/2/16,银凤网,山东省威海市,--,平台失联,https://www.p2peye.com/thread-949385-1-1.html,1000万元人民币,史永臻,不详,不详,不详,不详,连续多日联系不上，网站数据显示为0
2017/4/5,医融网,上海市黄浦区,2015/9/19,平台失联,https://www.p2peye.com/thread-972185-1-1.html,3000万元人民币,张作磊,不详,不详,不详,不详,网站无法访问
2017/2/28,中兴易贷,浙江省宁波市,2015/4/14,,https://www.p2peye.com/thread-954976-1-1.html,"2000万元人民币
",戴佳,2016年10月31日,不详,不详,不详,发布限额提现公告
2017/2/14,多利宝,北京市东城区,2014/8/18,提现困难,https://www.p2peye.com/thread-948465-1-1.html,10000万元人民币,张宁,不详,不详,不详,不详,发布清盘公告，提现困难
2017/3/7,广东众投,广东省梅州市,--,平台失联,https://www.p2peye.com/thread-958206-1-1.html,"1000万元人民币
",廖苏文,2017年3月7日,不详,不详,不详,网站无法访问
2017/2/22,诚信友贷,重庆市万州区,2014/6/12,平台失联,https://www.p2peye.com/thread-952241-1-1.html,"300万元人民币 
",关全,不详,不详,不详,不详, 连续多日联系不上
