岗位名称	链接	公司	类型	地点	薪水/天	每周最少实习天数	最短实习月份
数据分析实习	/intern/inn_otvu1kkpfqmj	海康威视	分析/调研	杭州	100-120/天	4天/周	3个月
数据分析实习	/intern/inn_slbeeoruyzr4	?S	客服	上海	130-150/天	3天/周	3个月
数据分析实习	/intern/inn_obw1msls83yl	广发基金	基金	广州	100-120/天	3天/周	3个月
数据分析实习	/intern/inn_rv9ujvql7cqo	亿腾医药	生物医疗	上海	100-120/天	3天/周	15个月
数据分析实习	/intern/inn_dnausg2zltvw	快手	运营	北京	100-150/天	5天/周	3个月
数据分析实习	/intern/inn_eb1hdvdonane	触宝	数据库	上海	180-200/天	3天/周	3个月
数据分析实习	/intern/inn_kqx9kwzavlh3	交复医学	数据挖掘	武汉	150-200/天	5天/周	3个月
数据分析实习	/intern/inn_gvszt5p88ujc	滴滴出行	算法	北京	200-260/天	5天/周	8个月
数据分析实习	/intern/inn_vx5tuf04ybmb	滴滴出行	数据库	杭州	150-200/天	4天/周	6个月
数据分析实习	/intern/inn_5wtgyt5uaiss	?八到家	分析/调研	北京	150-200/天	5天/周	3个月
数据分析实习	/intern/inn_mmdnrx4pb2hr	卓越律商	分析/调研	深圳	150-200/天	5天/周	3个月
数据分析实习	/intern/inn_fu3kboiyorrj	易车??	产品	北京	100-120/天	4天/周	3个月
数据分析实习	/intern/inn_gtckxouiyni9	贪玩游戏	分析/调研	广州	100-150/天	5天/周	3个月
数据分析实习	/intern/inn_zqpm6bee4mp6	科大讯飞	数据挖掘	合肥	80-100/天	5天/周	3个月
数据分析实习	/intern/inn_rh9zjrnkha5e	广州行信用卡中心	银行	广州	80-100/天	5天/周	3个月
数据分析实习	/intern/inn_gotsiptkwv0d	安客诚信息	数据挖掘	上海	120-140/天	4天/周	7个月
数据分析实习	/intern/inn_wp3uixrvdpb0	?条视频	云计算/大数据	上海	100-101/天	3天/周	6个月
数据分析实习	/intern/inn_zyrp70626n3k	䜩S	销售支持	上海	149-150/天	3天/周	8个月
数据分析实习	/intern/inn_hjarcjgpuytz	宜信富	运营	上海	100-120/天	5天/周	3个月
数据分析实习	/intern/inn_ntzzqg3tkiok	学大教育	数据挖掘	西安	100-120/天	2天/周	5个月
数据分析实习	/intern/inn_pjbwdseg4rd6	快钱公司	销售支持	北京	100-150/天	3天/周	3个月
数据分析实习	/intern/inn_pyxunrcjrxoj	拉卡拉金融公司	金融	广州	100-120/天	3天/周	4个月
数据分析实习	/intern/inn_djkzqwjhhwsw	哔哩哔哩	数据挖掘	上海	100-120/天	5天/周	8个月
数据分析实习	/intern/inn_v8duthrympvs	奔驰	机械制造	北京	120-150/天	5天/周	6个月
数据分析实习	/intern/inn_5bxdq3ndwltt	山水比德	分析/调研	广州	80-100/天	5天/周	10个月
数据分析实习	/intern/inn_jyh6cev9zixb	?䜩?	分析/调研	上海	110-120/天	3天/周	3个月
数据分析实习	/intern/inn_apkevaciaulb	英特尔	软件	北京	155-270/天	5天/周	6个月
数据分析实习	/intern/inn_ikrg3i1ovuzc	陈家坪?展中心	运营	重庆	90-96/天	5天/周	3个月
数据分析实习	/intern/inn_mhgx7nhzlvb5	????㑇	分析/调研	上海	130-160/天	4天/周	4个月
数据分析实习	/intern/inn_jlf39ucqaiam	瑞曦科技	云计算/大数据	北京	200-220/天	5天/周	3个月
数据分析实习	/intern/inn_be1irwvg3wt4	B????ruor??	数据库	深圳	150-200/天	5天/周	13个月
数据分析实习	/intern/inn_iwzjfl3zoft6	李宁	分析/调研	北京	100-120/天	3天/周	3个月
数据分析实习	/intern/inn_tbm1ng9fpew9	超越自然	分析/调研	深圳	100-150/天	3天/周	6个月
数据分析处理工?师	/intern/inn_crvyy62htorc	航宇科技	客户服务	西安	100-200/天	2天/周	3个月
